subject,run,run_trial_index,semantic_condition,task_annotation,task_event_sample,task_event_time_seconds,rest_annotation,rest_event_sample,rest_event_time_seconds,task_quality_status,task_quality_evidence,strong_task_review_candidate,paired_task_metric_status,paired_task_metric_evidence,paired_rest_quality_status,paired_rest_quality_evidence,pair_quality_driver,task_max_p2p_uV,task_median_channel_p2p_uV,task_frontal_max_p2p_uV,task_max_abs_step_uV,task_minimum_channel_std_uV,task_median_channel_std_uV,task_max_p2p_uV_robust_z,task_median_channel_p2p_uV_robust_z,task_frontal_max_p2p_uV_robust_z,task_max_abs_step_uV_robust_z,task_minimum_channel_std_uV_robust_z,task_median_channel_std_uV_robust_z,rest_max_p2p_uV,rest_median_channel_p2p_uV,rest_frontal_max_p2p_uV,rest_max_abs_step_uV,rest_minimum_channel_std_uV,rest_median_channel_std_uV,rest_max_p2p_uV_robust_z,rest_median_channel_p2p_uV_robust_z,rest_frontal_max_p2p_uV_robust_z,rest_max_abs_step_uV_robust_z,rest_minimum_channel_std_uV_robust_z,rest_median_channel_std_uV_robust_z,primary_retained,source_file,source_sha256
1,6,0,both_feet_imagery,T2,672,4.2,T0,0,0.0,not flagged,,False,not flagged,,not flagged,,neither,273.4379051849281,125.57195721515149,273.4379051849281,91.89750359946242,13.765617269412147,20.810429757274733,-0.15540982466482695,-0.5851236930174634,0.0,0.8887244525529366,-0.22364286971748895,-0.6143894588782952,175.8571108254395,103.47091663695292,169.44188838251415,44.60319751644401,11.21229565561195,17.698377023931137,-1.0608098759352365,-1.6448066617584252,-1.0708654009997105,-2.0756105571464367,-2.560830531014601,-1.6225122072874159,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,1,both_fists_imagery,T1,2000,12.5,T0,1328,8.3,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,False,statistical candidate,high max_abs_step_uV,not flagged,,task_candidate,463.67642889859326,138.63736332162608,463.67642889859326,136.6115972943752,13.60025391397064,22.006206963867683,1.530467150340736,0.3593879106184615,1.594686219483616,3.819943320608451,-0.3552458961976412,0.20846036811510202,271.7814029764087,122.85782885548134,271.7814029764087,82.4387893000012,16.098246168116045,22.533962675499545,-0.3390256101207552,-0.49141285021438036,-0.3177545884003803,0.1604679345074363,0.8574129022127124,0.743519621342445,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,2,both_fists_imagery,T1,3328,20.8,T0,2656,16.6,not flagged,,False,not flagged,,not flagged,,neither,414.22059700016786,139.59099563023898,414.22059700016786,81.25356383320522,15.367884439082667,22.613954376030975,1.0921939412677202,0.42832696798466485,1.180119642420486,0.19096420527660216,1.051507892647248,0.626669420936161,226.79008237724122,110.57636802206287,226.79008237724122,44.18332277465532,13.403711103556644,19.91680547279463,-0.6775637069730647,-1.222079021408334,-0.6488432216698744,-2.1004250990907876,-1.0277017272660873,-0.5370444485172788,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,3,both_feet_imagery,T2,4656,29.1,T0,3984,24.9,not flagged,,False,not flagged,,not flagged,,neither,217.12200003448837,122.90303276669377,162.7691848197693,73.84413343606138,13.578630251513983,20.080907014085046,-0.6544763962842732,-0.7780629778933249,-0.9276874097269271,-0.29475876005598295,-0.3724549049002245,-1.116395735391746,431.26530251941176,130.86542891351195,431.26530251941176,59.75367029127146,13.747578119607414,22.99739220221671,0.8610142000214759,-0.0150132952906572,0.8558785840644277,-1.180219611394084,-0.7871300787176855,0.9702737499109336,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,4,both_fists_imagery,T1,5984,37.4,T0,5312,33.2,not flagged,,False,not flagged,,not flagged,,neither,374.0356358858726,166.0894534504662,374.0356358858726,96.03551695281486,16.16460546315827,26.330446669740816,0.7360783692921271,2.3439276531603817,0.843266714483007,1.1599906645077662,1.6855715747052973,3.1840981995083197,366.41428118448465,123.25299205655162,366.41428118448465,70.27376524146649,14.395585264297125,20.226789944581586,0.37304138550353527,-0.46790323787762084,0.3786435144117016,-0.5584833852803768,-0.3337799759380417,-0.38537034335670317,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,5,both_feet_imagery,T2,7312,45.7,T0,6640,41.5,not flagged,,False,not flagged,,not flagged,,neither,198.72107961158972,112.17852317415117,198.72107961158972,81.02103591182345,13.566016762809006,19.22268855596581,-0.8175437259412587,-1.5533487723732693,-0.626318422680259,0.1757209078242481,-0.38249324310167293,-1.706961357392553,377.6128643217421,131.29210383460733,377.6128643217421,67.41933252126965,15.658267632182989,20.499763386041472,0.45730534958019003,0.010371057203708902,0.461053266694856,-0.7271799831297874,0.5496009959387486,-0.2518055804917881,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,6,both_feet_imagery,T2,8640,54.0,T0,7968,49.8,not flagged,,False,not flagged,,not flagged,,neither,214.86248711226298,128.48107428643596,214.86248711226298,68.05139459703261,13.199101058635728,20.55997189247929,-0.6745,-0.3748206371635843,-0.4910120735669949,-0.6745,-0.6745,-0.7867369577098396,293.36142643141284,119.67563251058877,293.36142643141284,66.68504894755422,14.779401906467998,21.014391903408484,-0.17664628954974507,-0.6807326103672828,-0.1589483925277221,-0.7705760456349697,-0.06525930359264362,0.0,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,7,both_fists_imagery,T1,9968,62.3,T0,9296,58.1,statistical candidate,high median_task_channel_std_uV (robust_z=3.64); channel-specific high task p2p: PO7/PO3/PO4/PO8/O1/Iz,False,statistical candidate,high median_channel_std_uV,not flagged,,task_candidate,526.164024041261,168.851622673941,526.164024041261,85.58111293742468,14.687099335161768,26.995866438794867,2.0842266929297737,2.5436076984277936,2.1184923598880037,0.4746553759682272,0.5097108311435777,3.641993314773297,314.9607728551125,135.58063102393112,314.9607728551125,61.16846271542075,15.220936875527586,21.75439201411297,-0.014121572912102474,0.26551022867409424,0.0,-1.096605565447803,0.24364149363517104,0.36207895822268116,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,8,both_fists_imagery,T1,11296,70.6,T0,10624,66.4,statistical candidate,high max_task_abs_step_uV (robust_z=6.16),True,statistical candidate,high max_abs_step_uV,statistical candidate,high median_channel_std_uV,both,335.76270604226454,136.03011678137784,335.76270604226454,172.3625662965954,12.332605788103859,21.45779991650565,0.3969070493629489,0.17090738496654567,0.5224415072146389,6.163587264408173,-1.364092925399176,-0.16891481645589765,666.4231288038645,182.09576068140174,666.4231288038645,70.19069133877213,17.246242282986575,28.66572337625375,2.6304639941166013,3.0328546146883326,2.586391986878065,-0.5633930419892047,1.660558609682333,3.743764478719872,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,9,both_feet_imagery,T2,12624,78.9,T0,11952,74.7,not flagged,,False,not flagged,,not flagged,,neither,230.73235179983496,133.66595907004046,215.86428062207682,67.99138890914534,14.726374654855363,22.446337333594325,-0.5338626624568386,0.0,-0.4826144773615451,-0.6784336546934379,0.5409677618211899,0.511327153488934,192.5078695451977,124.47097014627843,192.5078695451977,107.0002784941735,13.992069230700233,20.429633724821635,-0.9355209070171238,-0.3954415495255922,-0.901124124760886,1.6120487112602333,-0.6160824733772956,-0.2861197303245693,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
