analysis_set,run,semantic_condition,channel,frequency_band,trial_count,mean_change_percent,standard_deviation_change_percent,median_change_percent,q25_change_percent,q75_change_percent,iqr_change_percentage_points,minimum_change_percent,maximum_change_percent
all_trials,10,both_feet_imagery,AF3,beta,8,-9.613618017606582,39.16579939315153,-18.66657270211475,-42.21329158671041,23.920509861989718,66.13380144870013,-51.468378907618415,51.368834921268636
all_trials,10,both_feet_imagery,AF3,central_12_13,8,-21.274213715087576,53.95332959406473,-33.32016208024375,-54.37501772074501,-4.435627690619659,49.939390030125345,-74.62545278776122,95.90604866410725
all_trials,10,both_feet_imagery,AF3,mu,8,-15.738736361506366,47.61805606853742,-30.217066890652646,-49.04769703441739,3.9588835196791337,53.00658055409652,-63.18076934376552,79.63003502623008
all_trials,10,both_feet_imagery,AF4,beta,8,18.864713914775223,52.105542162212565,10.465236332160591,-31.99044509373585,61.236693238014674,93.22713833175052,-33.917120497621404,99.29814793698071
all_trials,10,both_feet_imagery,AF4,central_12_13,8,11.820929653392595,74.63813651211508,0.36244736060647753,-54.45068443546627,44.69394631840489,99.14463075387116,-58.923469567290965,132.7913025395864
all_trials,10,both_feet_imagery,AF4,mu,8,-6.937214910687263,39.04593719012963,-11.39336805772511,-38.34626073204574,12.324095140529328,50.67035587257507,-50.5266908849827,62.660336959713554
all_trials,10,both_feet_imagery,AF7,beta,8,-8.575035966024904,41.27176507614161,-19.4305744579333,-42.42734130695186,24.876478642696284,67.30381994964814,-52.08796598802545,55.90321832222999
all_trials,10,both_feet_imagery,AF7,central_12_13,8,-20.978645128210317,53.308637181355,-34.577643985383375,-55.12006311937783,-1.2201371490456585,53.89992597033218,-73.71250777311168,92.6864936393829
all_trials,10,both_feet_imagery,AF7,mu,8,-13.953171898607405,49.429551689080085,-28.938947891986285,-48.241680748930236,6.960277681492128,55.201958430422366,-63.10135231294249,85.00119284914518
all_trials,10,both_feet_imagery,AF8,beta,8,8.597860513186948,32.97449396843904,4.8003000435749,-21.455500873069557,40.908674507999194,62.36417538106875,-26.949333121111852,48.24854323078199
all_trials,10,both_feet_imagery,AF8,central_12_13,8,6.317506167943222,62.21761741650443,-4.122478659810016,-23.928471550974717,17.71956402639558,41.648035577370294,-68.30033047820578,136.5819850477428
all_trials,10,both_feet_imagery,AF8,mu,8,-3.569052376854449,42.81184099138002,-17.02494712035175,-33.914738589161686,25.209798527965177,59.12453711712686,-55.015996957869476,73.03846768328637
all_trials,10,both_feet_imagery,AFz,beta,8,16.656303831451694,63.24431025605761,-12.64239149099727,-23.307661542109678,41.071884737467265,64.37954627957694,-34.13515056180108,154.0850093283609
all_trials,10,both_feet_imagery,AFz,central_12_13,8,15.944047646881,86.21872341733713,-17.60966454942145,-43.39956779551645,58.0900329244556,101.48960071997205,-65.63185644584613,194.702832230237
all_trials,10,both_feet_imagery,AFz,mu,8,-13.322287544918234,24.232367208753818,-12.40447900191897,-34.738786283670194,0.06969195497693637,34.80847823864713,-40.40039431626127,29.659867984779314
all_trials,10,both_feet_imagery,C1,beta,8,5.589757579416318,40.32796782455043,0.6871867354873711,-20.80702819346891,16.338684078685034,37.14571227215394,-38.19761279948172,90.52215145164234
all_trials,10,both_feet_imagery,C1,central_12_13,8,31.9727372842242,91.15435111135429,2.5581537796691274,-6.223786171379793,11.88997582627455,18.113761997654343,-15.76039294881863,255.8834791109429
all_trials,10,both_feet_imagery,C1,mu,8,14.58777913868388,45.482205801190815,5.964364025392788,-7.115376736605031,18.949396580532404,26.064773317137437,-28.13454017847313,117.30115417249552
all_trials,10,both_feet_imagery,C2,beta,8,7.3663014030242735,35.66822609612839,6.942444277508658,-19.276426392569213,27.767960455295416,47.04438684786463,-39.348642748529514,67.44690778735985
all_trials,10,both_feet_imagery,C2,central_12_13,8,66.41931009423725,80.59159674554934,50.36673137736204,-0.9055804217010812,132.261595399868,133.1671758215691,-18.83701488574986,191.27812134302744
all_trials,10,both_feet_imagery,C2,mu,8,36.142952873142114,46.987022623246844,10.239468653940818,4.045999368846752,75.95764513988655,71.9116457710398,-7.6556625106987655,103.47789377186152
all_trials,10,both_feet_imagery,C3,beta,8,-3.8015530753179556,38.83782886202078,-20.196233692871978,-29.92560271177683,4.2254714826154345,34.151074194392265,-32.99560012324519,64.20648077176735
all_trials,10,both_feet_imagery,C3,central_12_13,8,76.9792728068553,188.34013217014626,1.5743480583427347,-43.333391868170224,106.08168530864647,149.41507717681668,-54.42083551182318,500.99961593156905
all_trials,10,both_feet_imagery,C3,mu,8,33.64460594032529,104.42473016412245,-1.1397277026910757,-28.820372274070845,46.044354071251036,74.86472634532188,-54.42659714676362,261.1665141403521
all_trials,10,both_feet_imagery,C4,beta,8,-1.5593586294548984,30.055035949525763,-8.709555671523011,-17.021260866167975,3.481211236365014,20.502472102532987,-31.108449407827234,65.91264271322852
