subject,run,run_trial_index,task_epoch_array_index,rest_epoch_array_index,task_annotation_index,rest_annotation_index,annotation,semantic_condition,task_event_sample,task_event_time_seconds,rest_event_sample,rest_event_time_seconds,source_file,source_sha256,quality_status,quality_evidence,confirmed_exclusion,channel,frequency_band,band_lower_hz,band_upper_hz,frequency_center_count,task_interval_start_seconds,task_interval_stop_seconds,rest_interval_start_seconds,rest_interval_stop_seconds,reference_mean_wavelet_power_v2,task_mean_wavelet_power_v2,change_percent,primary_retained,change_db,reference_log_power_robust_z,task_log_power_robust_z,low_reference_power_candidate
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,FC5,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,1.4035364072891197e-09,1.5311558027334399e-09,9.092702888328523,True,0.3779570199696387,0.2798912725007648,0.6745,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,FC3,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,1.1422340997119138e-09,2.8083823171546957e-09,145.86749054882935,True,3.9070110861418668,-0.9886230215707612,0.942933946246084,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,FC1,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,1.1712077984058894e-09,2.333737684102573e-09,99.25906293306643,True,2.994180836054588,-0.8327029120499435,1.3432238380486154,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,FCz,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,1.636216904124873e-09,1.8578091703195978e-09,13.54296399432708,True,0.5516022712366365,-0.4842702841488422,0.15946507227412018,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,FC2,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,1.4092069437681695e-09,2.0493444977940926e-09,45.425376085234,True,1.6264019560281495,-0.368987857419146,0.7191665591316364,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,FC4,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,1.1337509745357344e-09,2.1142969891557105e-09,86.48689497457809,True,2.7064831796669555,-1.0985061952910757,0.7397105100573618,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,FC6,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,8.702833803780972e-10,1.4718712298105906e-09,69.12551279229666,True,2.2820912639815347,-1.7088479864479729,0.15233919356510742,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,C5,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,9.804695523034466e-10,1.2795843129011253e-09,30.507297232735002,True,1.1563479565367045,-0.3945964226325029,0.5806415718748301,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,C3,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,6.47491758983584e-10,2.109761667404363e-09,225.83606480431698,True,5.1299915203715285,-1.4064374060251739,0.8233225962653135,False
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,C1,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,7.071382504504086e-10,1.4919963963947903e-09,110.99076389156856,True,3.2426344449807374,-0.7062118052392066,1.660384419481302,False
