analysis_set,semantic_condition,channel,frequency_band,trial_count,mean_change_percent,standard_deviation_change_percent,median_change_percent,q25_change_percent,q75_change_percent,iqr_change_percentage_points,minimum_change_percent,maximum_change_percent
all_trials,both_feet_imagery,AF3,beta,24,2.3810426924848933,50.2085024718224,-8.079218985875428,-35.11807983165357,29.045723120521743,64.1638029521753,-51.468378907618415,165.26843662707756
all_trials,both_feet_imagery,AF3,central_12_13,24,20.33933502085156,115.8557875298863,-7.034263258406645,-40.74480782073315,40.85531733081841,81.60012515155157,-80.10751528887901,487.92095975548267
all_trials,both_feet_imagery,AF3,mu,24,8.523192967993504,62.750358872091354,-3.24032040593953,-35.64546048738343,43.96696317660827,79.6124236639917,-71.82317375705273,166.49983355877853
all_trials,both_feet_imagery,AF4,beta,24,12.636587203436093,44.67785695186949,1.2727088948070213,-22.639129179972223,44.012856499739755,66.65198567971197,-37.26706241594782,122.52936701987409
all_trials,both_feet_imagery,AF4,central_12_13,24,24.757745163507934,96.48769347784055,-2.696405779686825,-33.510267161744906,44.20386776700899,77.7141349287539,-58.923469567290965,407.2606396543732
all_trials,both_feet_imagery,AF4,mu,24,6.026458014326354,53.156554009144344,-1.901449523765552,-36.10004824121481,25.12263238705968,61.22268062827449,-50.5266908849827,172.2921376528984
all_trials,both_feet_imagery,AF7,beta,24,2.232298016911443,51.04215228540312,-8.137175484686093,-38.059119865338616,32.66816926126987,70.72728912660848,-52.08796598802545,165.02206117219106
all_trials,both_feet_imagery,AF7,central_12_13,24,19.325251652284248,115.0066165535474,-10.166923548661387,-41.30212111624632,41.6145061116157,82.91662722786202,-81.0342455863325,490.30681397615666
all_trials,both_feet_imagery,AF7,mu,24,8.731307454384547,63.114873081075416,-4.22482639201001,-35.99010773433628,44.322585621680936,80.3126933560172,-72.39171288149845,170.91515172832695
all_trials,both_feet_imagery,AF8,beta,24,1.142413584757118,24.713612006340945,-6.704791509346814,-19.147922430056898,12.68392676369399,31.831849193750887,-26.949333121111852,48.24854323078199
all_trials,both_feet_imagery,AF8,central_12_13,24,25.28551647343542,138.64498512858233,-12.792431610224616,-28.61265769786099,27.622231743206886,56.23488944106788,-68.30033047820578,633.0573263506017
all_trials,both_feet_imagery,AF8,mu,24,6.185903058944671,57.816229978705046,-13.383527262821168,-32.031306824054326,28.790600316740974,60.821907140795304,-61.6947754812632,165.20136574508905
all_trials,both_feet_imagery,AFz,beta,24,20.08609447974624,56.76404887488002,-0.7289665089429138,-19.601480858156048,42.63238241757196,62.23386327572801,-37.61789525532905,154.0850093283609
all_trials,both_feet_imagery,AFz,central_12_13,24,22.32680609416727,75.77478725556323,6.242517230182198,-29.46359562979419,54.452359843094115,83.9159554728883,-65.63185644584613,241.6938440526763
all_trials,both_feet_imagery,AFz,mu,24,6.837894641551798,49.281818052727296,-5.6600080949840885,-32.62161872163781,29.30437061146882,61.92598933310663,-49.993220728993045,136.98301953029872
all_trials,both_feet_imagery,C1,beta,24,6.536377670383007,34.89565269740035,-1.9171387015020542,-21.241783438309195,29.479048979058007,50.720832417367205,-38.19761279948172,90.52215145164234
all_trials,both_feet_imagery,C1,central_12_13,24,32.660785854493675,81.97191807994061,9.498979917824133,-12.784778215661891,53.16848328879051,65.9532615044524,-76.03545611075559,255.8834791109429
all_trials,both_feet_imagery,C1,mu,24,21.801240348439762,59.223727264127625,14.087722630505084,-18.366326238998155,48.50333813262714,66.8696643716253,-76.87231733993514,190.52837671596004
all_trials,both_feet_imagery,C2,beta,24,8.209399231377164,31.210630321361133,15.029112266089388,-17.419666987866847,25.249800732276334,42.66946772014318,-39.348642748529514,67.44690778735985
all_trials,both_feet_imagery,C2,central_12_13,24,39.57581108347375,66.71053899912167,20.128498467919798,-14.397061833007339,88.10976917530657,102.50683100831391,-47.35128606502902,191.27812134302744
all_trials,both_feet_imagery,C2,mu,24,21.63018128337734,49.82612102363989,7.042717879522396,-6.413937967001234,36.33033037195964,42.74426833896087,-40.891837855658004,172.60213819148598
all_trials,both_feet_imagery,C3,beta,24,0.8237279686847643,29.659812434530405,1.0562486992987958,-17.925785310393742,12.185114077463975,30.110899387857717,-53.798047168227725,64.20648077176735
all_trials,both_feet_imagery,C3,central_12_13,24,74.01288862606786,138.1744622398498,30.292460642118655,-16.307597055519807,98.54416923683317,114.85176629235298,-54.42083551182318,500.99961593156905
all_trials,both_feet_imagery,C3,mu,24,45.836487099236116,97.74526408851419,22.397374610925645,-21.19410335516435,87.73201509190424,108.9261184470686,-57.31684615354879,305.3016753410939
all_trials,both_feet_imagery,C4,beta,24,-1.36005500396252,29.86046873245562,-6.494785911725927,-15.24531553496308,13.514973151242492,28.76028868620557,-51.824681633286914,69.24821309933296
all_trials,both_feet_imagery,C4,central_12_13,24,48.32727011090253,92.77422743633281,22.313400255138223,-25.842586937236074,94.97330707471492,120.815894011951,-52.62493656505364,289.0238457941884
all_trials,both_feet_imagery,C4,mu,24,16.386351263399586,52.87341457024956,3.792494111579183,-25.73794717523262,34.89423816498639,60.63218534021901,-41.56949035959617,139.7532685952033
all_trials,both_feet_imagery,C5,beta,24,-4.9073644834335015,31.971434383412987,-7.092124460703226,-23.44417199608604,19.08193458547946,42.5261065815655,-79.24967215971631,53.67566443517891
all_trials,both_feet_imagery,C5,central_12_13,24,39.48747063562761,92.61804751950253,16.63902289631509,-12.354923408026679,57.020454846709264,69.37537825473595,-63.300068742486864,336.5569492062434
all_trials,both_feet_imagery,C5,mu,24,22.246117786390315,83.47139399499993,-6.021212306010556,-18.47102750988805,31.643986598209636,50.11501410809768,-52.86285434704411,338.8468536168679
all_trials,both_feet_imagery,C6,beta,24,-3.463606632739681,28.056544951369105,-2.5252264766719863,-27.99558273442343,16.623729446388268,44.6193121808117,-60.91312193569329,45.77794493967806
all_trials,both_feet_imagery,C6,central_12_13,24,9.732906209510237,79.79106348708025,-15.670324495519498,-40.86244463700818,28.836832808908056,69.69927744591624,-64.7834027504515,275.43539446566643
all_trials,both_feet_imagery,C6,mu,24,-3.6621469459121916,45.82980779609654,-15.223131962253387,-37.51477750313229,7.423819295760924,44.93859679889321,-55.070652036231294,113.39193776810083
all_trials,both_feet_imagery,CP1,beta,24,-2.702528895585535,36.58316473632217,-8.468281421193797,-26.566366782862737,11.3205330017902,37.88689978465294,-59.170944399921225,97.60091678032578
all_trials,both_feet_imagery,CP1,central_12_13,24,-12.760117343080486,46.15932491506947,-20.1824964261383,-49.466926431699335,12.601250765378365,62.0681771970777,-84.12745038043177,71.8104129416506
all_trials,both_feet_imagery,CP1,mu,24,-6.9028115916495985,34.15702748507777,-6.723143208196323,-30.483205139110662,16.39157326873638,46.874778407847046,-76.31967618076901,61.835858663626944
all_trials,both_feet_imagery,CP2,beta,24,-2.832824728960136,28.743147492941805,-6.355961028444804,-22.01235652765357,15.099776935713937,37.112133463367506,-53.610725686077785,56.55331317434171
all_trials,both_feet_imagery,CP2,central_12_13,24,-3.1527348757083686,64.05356762092731,-24.59164756126341,-39.34966863355042,23.566227789353388,62.91589642290381,-73.93939686945508,222.3270488177504
all_trials,both_feet_imagery,CP2,mu,24,-6.3386679936354815,39.59303776185636,-13.43142011594318,-28.034855807365606,10.38604633515737,38.420902142522976,-73.69612498121946,80.68389464851315
all_trials,both_feet_imagery,CP3,beta,24,-13.719773643109482,26.45053736829807,-11.849572890249917,-36.2531040576161,2.5700293415538873,38.82313339916999,-64.26764588034555,34.96265218993236
all_trials,both_feet_imagery,CP3,central_12_13,24,-3.574608626973872,46.807045491838906,-4.8993264645079755,-29.236073619529048,16.45551927652527,45.69159289605432,-78.17018230728286,91.28190170572802
all_trials,both_feet_imagery,CP3,mu,24,-4.603512549597814,40.12155021453826,-0.6475995780059718,-35.55610614479348,27.04754736143339,62.60365350622688,-69.27161812131895,77.89082127978077
all_trials,both_feet_imagery,CP4,beta,24,-8.29462118443336,24.735053778727288,-11.291095014974053,-26.974815864350994,3.309700126457219,30.284515990808213,-47.655922160372775,50.22276840532651
all_trials,both_feet_imagery,CP4,central_12_13,24,-2.5460915104341013,73.67860455661612,-23.647222979550953,-49.093228922348416,8.677613261740131,57.77084218408855,-75.7605432808654,226.73857778824205
