subject,run,run_trial_index,task_epoch_array_index,rest_epoch_array_index,task_annotation_index,rest_annotation_index,annotation,semantic_condition,task_event_sample,task_event_time_seconds,rest_event_sample,rest_event_time_seconds,source_file,source_sha256,quality_status,quality_evidence,confirmed_exclusion,channel,frequency_band,band_lower_hz,band_upper_hz,frequency_center_count,task_interval_start_seconds,task_interval_stop_seconds,rest_interval_start_seconds,rest_interval_stop_seconds,reference_mean_wavelet_power_v2,task_mean_wavelet_power_v2,change_percent,primary_retained,change_db,reference_log_power_robust_z,task_log_power_robust_z,low_reference_power_candidate,subject_role
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,C3,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,6.47491758983584e-10,2.109761667404363e-09,225.83606480431698,True,5.1299915203715285,-1.4064374060251739,0.8233225962653135,False,development
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,Cz,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,9.201166204425296e-10,1.1771915627193768e-09,27.939386873938563,True,1.0700426510982868,-0.19953472068272132,0.7358183676381793,False,development
1,6,0,0,0,1,0,T2,both_feet_imagery,672,4.2,0,0.0,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,C4,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,5.241535336656728e-10,1.25667522942071e-09,139.7532685952033,True,3.797645366901839,-1.9130502186001277,0.27290120278464575,False,development
1,6,1,1,1,3,2,T1,both_fists_imagery,2000,12.5,1328,8.3,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,False,C3,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,5.61904043425671e-10,5.493241889758575e-10,-2.23879051895051,True,-0.0983343406861921,-1.663079319831394,-1.0126320575716716,False,development
1,6,1,1,1,3,2,T1,both_fists_imagery,2000,12.5,1328,8.3,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,False,Cz,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,6.052294498467528e-10,1.718361045856677e-09,183.91894120350142,True,4.5319436676242235,-1.7975399883594434,2.1779075246294686,False,development
1,6,1,1,1,3,2,T1,both_fists_imagery,2000,12.5,1328,8.3,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,statistical candidate,high max_task_abs_step_uV (robust_z=3.82); channel-specific high task p2p: F7/T10,False,C4,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,1.022156611262583e-09,6.762027795344372e-10,-33.84548198546781,True,-1.794404903763047,-0.3827490734829187,-0.7334455705107126,False,development
1,6,2,2,2,5,4,T1,both_fists_imagery,3328,20.8,2656,16.6,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,C3,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,5.690472602546104e-10,3.7193596892607813e-10,-34.63882617418073,True,-1.8468015688111281,-1.640212081742056,-1.5446919323853099,False,development
1,6,2,2,2,5,4,T1,both_fists_imagery,3328,20.8,2656,16.6,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,Cz,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,7.780666578907104e-10,1.04964694967186e-09,34.90450195069232,True,1.3002644292408885,-0.8392369972037751,0.29859401961121124,False,development
1,6,2,2,2,5,4,T1,both_fists_imagery,3328,20.8,2656,16.6,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,C4,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,4.087127456642928e-10,6.095537761872999e-10,49.139899025310385,True,1.7359384471704822,-2.483052508629625,-0.9019449166988938,False,development
1,6,3,3,3,7,6,T2,both_feet_imagery,4656,29.1,3984,24.9,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False,C3,mu,8.0,13.0,6,1.0,3.0,1.1,3.1,9.611126451216548e-10,1.8933979151899e-09,97.00062472388335,True,2.944676033885222,-0.6914321640037235,0.6756949814873245,False,development
