subject,run,reference_state,frequency_hz,channel_median_psd_uV2_per_hz,channel_q25_psd_uV2_per_hz,channel_q75_psd_uV2_per_hz,C3_psd_uV2_per_hz,Cz_psd_uV2_per_hz,C4_psd_uV2_per_hz
1,6,stored,0.3333333333333333,1365.4204074839204,1219.0705936701675,1943.9291026738404,1547.823069303388,1680.7183117683094,983.2489767377014
1,6,stored,0.6666666666666666,1016.8689491035772,828.5948610553826,1396.3753977287531,1064.6166640534755,1142.68249988728,755.482205265205
1,6,stored,1.0,789.9939707333306,635.8684262703003,916.3354120698607,751.4639763400155,874.7992788879185,627.9734404979329
1,6,stored,1.3333333333333333,599.4993591142231,493.4451257863076,684.9381173061303,569.2625913521193,684.9174371815332,493.7007454114201
1,6,stored,1.6666666666666665,373.28340601299124,315.04271205246954,418.4065741126242,373.378686347825,397.68370627627354,290.14753892924125
1,6,stored,2.0,313.15802032621144,247.04598515965313,351.3254331893908,321.769889654896,349.3458798825113,235.9773363031112
1,6,stored,2.333333333333333,303.17884669795666,227.2237523512575,338.2059742351805,313.1353900023334,387.25218242766323,260.6227883401037
1,6,stored,2.6666666666666665,218.67429006967535,173.95814953211735,259.6774657185591,240.96590684935106,294.07453746089203,196.21615197407695
1,6,stored,3.0,146.93431360833165,121.05432323912113,160.87532314061923,149.90018725786462,167.2124167588083,112.69782920679863
1,6,stored,3.333333333333333,162.12233695981772,140.6343521659686,172.4603040750744,166.31306656476312,190.67886176896238,129.42564928592967
1,6,stored,3.6666666666666665,144.8559764909374,123.98130513071989,153.92588093753176,151.58061956449237,167.88781204168902,112.77360106170615
1,6,stored,4.0,108.6963325750603,90.41525421712166,121.03473134919068,123.67676115070279,139.4166585187148,83.62116220492389
1,6,stored,4.333333333333333,102.65109094311282,82.11236742891424,117.73614959295,118.64348968950662,127.07399899606845,73.40759854354764
1,6,stored,4.666666666666666,95.30698907622624,74.2004674091749,106.34684332880053,105.36810159262853,108.2122530958256,65.38739767011792
1,6,stored,5.0,73.53604260766608,59.641665179722914,79.99625796821255,80.44425312116519,88.07272779720579,58.83629194252366
1,6,stored,5.333333333333333,57.26425939650224,49.276180797386104,68.31765570789611,61.62171409741427,78.74656553405553,52.52981012465074
1,6,stored,5.666666666666666,53.90557774526032,42.98856206020937,59.41979235092537,59.65677732466814,66.35460568081918,40.80227043578902
1,6,stored,6.0,42.05470884148497,33.455894583231554,47.55900163541875,44.39452628287245,54.20501682734824,36.10605161248906
1,6,stored,6.333333333333333,41.65008961427475,34.586858125334075,46.63628118098828,46.5907911512389,58.48479231894042,39.63485617458536
1,6,stored,6.666666666666666,47.42037152550152,40.842194321657985,52.615963445195426,51.2949351882411,57.317679158933714,41.31329895648396
1,6,stored,7.0,51.589091942301394,45.60882664656814,58.94345566770796,56.026182554983855,61.13359191909758,40.917753613169104
1,6,stored,7.333333333333333,51.062726065404966,41.65883772672498,61.087016525394056,55.728350658012154,63.8897429548778,41.756250556005206
1,6,stored,7.666666666666666,47.047850663576554,38.81888594759868,53.551670840786926,48.17571699939646,56.105795035254786,38.8847905297654
