semantic_condition,channel,frequency_hz,time_seconds,trial_count,mean_change_percent,median_change_percent,q25_change_percent,q75_change_percent
both_fists_imagery,C3,6.0,-1.5,21,1.8472662155984692,-29.852388192433956,-60.87237195490242,70.67219170357677
both_fists_imagery,C3,6.0,-1.475,21,-8.714489232634593,-4.216057926370903,-66.10576677911237,22.567617190181505
both_fists_imagery,C3,6.0,-1.45,21,-16.629765033343855,-19.31326963186595,-63.1685399939088,22.9011260378447
both_fists_imagery,C3,6.0,-1.425,21,-19.030522416159414,-27.00486794581083,-69.61906685637132,13.090591482159441
both_fists_imagery,C3,6.0,-1.4,21,-14.824867671197683,-34.85310755069177,-64.32809447508774,2.910632808933734
both_fists_imagery,C3,6.0,-1.375,21,-5.472260487265669,-35.14379636529553,-64.52842577434038,6.397214716064224
both_fists_imagery,C3,6.0,-1.35,21,5.366717500834162,-24.795479406206606,-66.63869894713531,36.027556375719286
both_fists_imagery,C3,6.0,-1.325,21,14.490513720069501,-23.152649420666073,-71.067867307627,31.430730057685373
both_fists_imagery,C3,6.0,-1.3,21,21.17619766211225,3.402605629547028,-75.07126597816264,68.33013305477495
both_fists_imagery,C3,6.0,-1.275,21,25.932201044007964,1.0494124593067276,-65.71856631653316,87.38485701969122
both_fists_imagery,C3,6.0,-1.25,21,28.707746695079784,8.526745363446487,-70.41100658662916,101.41568946768783
both_fists_imagery,C3,6.0,-1.225,21,29.409993176404182,22.951313014310415,-52.633482765494676,88.9306942527767
both_fists_imagery,C3,6.0,-1.2,21,28.837728963333614,-6.654433010437793,-39.54254900862781,80.28737590706719
both_fists_imagery,C3,6.0,-1.175,21,28.228532406504044,24.154183623903357,-44.462634527864516,87.59313477524186
both_fists_imagery,C3,6.0,-1.15,21,28.656227499868404,22.560700409183255,-55.50996085253826,76.26840438573616
both_fists_imagery,C3,6.0,-1.125,21,30.870851600792786,23.622525162848355,-69.25068895498922,81.69611982626643
both_fists_imagery,C3,6.0,-1.1,21,35.02964637234904,3.7265514448818746,-61.392133293977146,61.17668249495004
both_fists_imagery,C3,6.0,-1.075,21,40.49764329817325,-14.17958008108699,-71.26600644555349,83.71722686441191
both_fists_imagery,C3,6.0,-1.05,21,46.20650860550116,-26.341714798014067,-54.73345925709093,56.02395395886254
both_fists_imagery,C3,6.0,-1.025,21,51.82996143991301,-29.253212925569578,-48.867495472685675,51.445275798902564
both_fists_imagery,C3,6.0,-1.0,21,58.64863352869164,-21.823434490284427,-62.01702329654346,124.84779532290179
both_fists_imagery,C3,6.0,-0.975,21,68.09878294781831,-5.825273226546508,-66.68228364294126,76.76081175539679
both_fists_imagery,C3,6.0,-0.95,21,79.30326990432116,16.371083741942837,-66.65790639204492,94.82484194166771
both_fists_imagery,C3,6.0,-0.925,21,88.32072932019908,-3.3765634832396523,-44.14894339300869,101.45924331259516
both_fists_imagery,C3,6.0,-0.9,21,89.53137460461609,-8.108321398173405,-42.854220222003235,100.8139697917381
both_fists_imagery,C3,6.0,-0.875,21,79.4792551936276,16.606800583112367,-44.313929093269,64.21510560946282
both_fists_imagery,C3,6.0,-0.85,21,60.35846498502252,16.96358775735187,-46.015570724057675,56.716933678719904
both_fists_imagery,C3,6.0,-0.825,21,38.05367369386426,-4.1860651448908435,-49.117477766731476,64.14132301309222
both_fists_imagery,C3,6.0,-0.8,21,17.83224199079396,-0.33772981663597684,-46.848029785657545,78.13693141023592
both_fists_imagery,C3,6.0,-0.775,21,4.015684086460526,-20.572435868962625,-76.14050980451923,58.981303406436766
both_fists_imagery,C3,6.0,-0.75,21,0.611106213574999,3.7892535683433075,-77.89474774185972,65.32810252946692
both_fists_imagery,C3,6.0,-0.725,21,8.095073510900264,-5.647680517643058,-74.79123596051039,87.77593322718515
both_fists_imagery,C3,6.0,-0.7,21,20.577171804935084,-7.644548051861649,-47.32564081941439,82.53818785636285
both_fists_imagery,C3,6.0,-0.675,21,28.82986482937503,0.45269408514496345,-32.65499152657746,70.79571993270997
both_fists_imagery,C3,6.0,-0.65,21,26.63284579199807,9.081086052925091,-45.18395426974721,77.55860824056663
both_fists_imagery,C3,6.0,-0.625,21,14.158458838879824,-28.23501324849667,-45.40505335871575,51.13168523400512
both_fists_imagery,C3,6.0,-0.6,21,-3.537333657178126,-43.47580528210715,-58.89631191345676,39.006971490808375
both_fists_imagery,C3,6.0,-0.575,21,-20.03382594564856,-44.30046870706028,-63.93733132211438,18.961766692000303
both_fists_imagery,C3,6.0,-0.55,21,-30.57070520313469,-51.15428039136182,-74.86725429038569,-8.554318016519101
both_fists_imagery,C3,6.0,-0.525,21,-33.95911185900677,-54.58593439867861,-68.85147801461117,-19.701555747525788
both_fists_imagery,C3,6.0,-0.5,21,-32.22249040236746,-51.020650064370244,-74.8494091947918,-7.8144133727452765
both_fists_imagery,C3,6.0,-0.475,21,-28.012142043669762,-46.01940422271095,-75.99951948968105,13.60107313071299
both_fists_imagery,C3,6.0,-0.45,21,-22.68087501008015,-46.911398650058686,-85.29466796641799,13.64527085061074
both_fists_imagery,C3,6.0,-0.425,21,-16.282753742384806,-49.044804821650615,-77.39974248527987,15.694394946697088
both_fists_imagery,C3,6.0,-0.4,21,-7.995199914410834,-49.08427691657014,-74.92093130501507,18.79721441776096
both_fists_imagery,C3,6.0,-0.375,21,2.952610313783645,-32.00482765853312,-70.9483624797314,-8.451293513142772
both_fists_imagery,C3,6.0,-0.35,21,15.18922694177422,-41.033716495761816,-65.51609274049176,37.1862593250668
both_fists_imagery,C3,6.0,-0.325,21,24.917238818204098,-23.730353005367935,-67.61393956961747,75.58918198623446
both_fists_imagery,C3,6.0,-0.3,21,29.663126464799472,2.4241206650534313,-62.5198652103099,53.228658948087826
both_fists_imagery,C3,6.0,-0.275,21,31.39096795259083,-9.252662328945272,-80.58158397356532,41.35132132670968
both_fists_imagery,C3,6.0,-0.25,21,33.57561232599632,-35.18499873176504,-72.35135279702668,86.45898311190815
both_fists_imagery,C3,6.0,-0.225,21,35.81572073833839,-31.16815471529703,-57.726326095778134,81.72532436815652
