cohort,semantic_condition,channel,frequency_band,analysis_role,replication_subject_count,negative_subject_count,positive_subject_count,zero_subject_count,negative_subject_fraction,negative_fraction_wilson_95_lower,negative_fraction_wilson_95_upper,median_across_subject_medians_percent,q25_across_subject_medians_percent,q75_across_subject_medians_percent,iqr_across_subject_medians_percentage_points,minimum_subject_median_percent,maximum_subject_median_percent,mad_across_subject_medians_percent,bootstrap_median_95_lower_percent,bootstrap_median_95_upper_percent,qc_excluded_cohort_median_percent,qc_sensitivity_direction_preserved,fraction_subjects_with_at_least_two_supporting_runs,leave_one_subject_out_minimum_cohort_median_percent,leave_one_subject_out_maximum_cohort_median_percent,leave_one_subject_out_direction_preserved,one_sided_exact_sign_test_p,holm_adjusted_primary_p,replication_category,strong_criterion_subject_fraction,strong_criterion_cohort_median,strong_criterion_run_support,strong_criterion_qc_sensitivity,strong_criterion_leave_one_subject_out
replication_1,both_fists_imagery,C4,central_12_13,primary,19,17,2,0,0.8947368421052632,0.6860591728889099,0.9706414397011299,-30.732830057741275,-46.23206574163448,-8.963316663406335,37.26874907822814,-74.5467552591621,35.585203013299015,21.209635490094858,-43.45184297612866,-9.523194567646417,-30.732830057741275,True,0.8947368421052632,-32.20682749326372,-29.429008375486386,True,0.0003643035888671875,0.000728607177734375,strong replication,True,True,True,True,True
replication_1,both_fists_imagery,C3,central_12_13,primary,19,16,3,0,0.8421052631578947,0.6243452472967093,0.9447952836146585,-29.82874371941025,-42.18022141791344,-18.50359975522728,23.676621662686156,-68.50813012585445,27.7446596704523,11.839451051305101,-39.12627260467563,-19.01790684234941,-30.018277360840415,True,0.8421052631578947,-32.28237953714642,-26.9853831817262,True,0.0022125244140625,0.0022125244140625,strong replication,True,True,True,True,True
replication_1,both_fists_imagery,C3,mu,secondary_or_exploratory,19,16,3,0,0.8421052631578947,0.6243452472967093,0.9447952836146585,-20.89212131628474,-29.834764851475583,-10.15668255796807,19.678082293507515,-55.23402659239241,7.454547853145227,10.438261213651067,-28.339147173015363,-10.97685054459649,-21.56376244708179,True,,-21.740377478470776,-19.403530061746693,True,,,secondary / exploratory; not replication-graded,,,,,
replication_1,both_fists_imagery,C4,mu,secondary_or_exploratory,19,18,1,0,0.9473684210526315,0.753612688331012,0.9906480059376995,-27.234990483077222,-38.15010772366561,-11.520593077494937,26.629514646170676,-54.38456512093823,6.513929795284265,12.89594448078947,-37.154722524141896,-11.940742447597659,-24.1311440375573,True,,-28.04924501005467,-25.68306726031726,True,,,secondary / exploratory; not replication-graded,,,,,
replication_1,both_fists_imagery,Cz,mu,secondary_or_exploratory,19,14,5,0,0.7368421052631579,0.5120844910218489,0.8819358765321748,-11.607792307907854,-25.791949254989103,0.21378839625904722,26.00573765124815,-41.51207683083241,24.559079322611883,13.272523572636448,-24.264677156208315,-1.2371544722105008,-8.93081663297405,True,,-13.011544405603997,-10.655786179916792,True,,,secondary / exploratory; not replication-graded,,,,,
replication_1,both_fists_imagery,Cz,beta,secondary_or_exploratory,19,16,3,0,0.8421052631578947,0.6243452472967093,0.9447952836146585,-18.10345028351133,-25.047834304593014,-8.33743280464667,16.710401499946343,-45.10734376191657,48.82470545652174,8.056022532988834,-23.936195792685865,-11.238200367563323,-15.83437799783705,True,,-19.534890973483314,-17.505520965194073,True,,,secondary / exploratory; not replication-graded,,,,,
replication_1,both_feet_imagery,C3,central_12_13,secondary_or_exploratory,19,12,7,0,0.631578947368421,0.41039533164803066,0.8085048725486492,-9.795589185826236,-17.35952227854945,9.22126551127674,26.58078778982619,-70.7617206632257,88.60214406008222,12.75626073286068,-17.322532746029434,8.975040238312973,-10.968115227919993,True,,-10.381852206873114,-8.955294580392483,True,,,secondary / exploratory; not replication-graded,,,,,
replication_1,both_feet_imagery,C4,central_12_13,secondary_or_exploratory,19,15,4,0,0.7894736842105263,0.5666572155618583,0.9149232336708375,-13.061674980052487,-31.880718582058513,-0.3640394780547078,31.516679104003806,-54.90051067522783,55.764690255087544,15.9189611975991,-28.980636177651586,-0.6772022255034673,-13.061674980052487,True,,-13.756511238733218,-11.6592358956833,True,,,secondary / exploratory; not replication-graded,,,,,
replication_1,both_feet_imagery,C3,mu,secondary_or_exploratory,19,16,3,0,0.8421052631578947,0.6243452472967093,0.9447952836146585,-7.7871980647197185,-15.231728607198143,-2.585549878297502,12.64617872890064,-58.438399435635645,55.25572990107728,5.837524766385482,-13.6247228311052,-3.113411003889234,-11.149666458229778,True,,-8.642251055832832,-7.331445503829069,True,,,secondary / exploratory; not replication-graded,,,,,
replication_1,both_feet_imagery,Cz,mu,secondary_or_exploratory,19,15,4,0,0.7894736842105263,0.5666572155618583,0.9149232336708375,-14.188967718256034,-24.563123359695794,-1.678948982898172,22.88417437679762,-49.400557081096515,35.50683036433716,11.15557897641565,-23.7817000247199,-3.288465254643797,-13.173063340414323,True,,-15.265149667200419,-12.055404260647393,True,,,secondary / exploratory; not replication-graded,,,,,
