subject,run,channel,mean_uV,std_uV,variance_uV2,minimum_uV,maximum_uV,peak_to_peak_uV,median_uV,mad_uV,iqr_uV,max_abs_step_uV,identical_step_fraction,longest_identical_run_samples,longest_identical_run_seconds,median_peer_correlation,mean_robust_z,std_robust_z,peak_to_peak_robust_z,max_abs_step_robust_z,median_peer_correlation_robust_z,candidate_status,candidate_evidence
1,6,FC5,10.0506,68.66276603545768,4714.575439640001,-549.0,426.0,975.0,5.0,35.0,70.25,343.99999999999994,0.03125156257812891,80,0.5,0.7884701258644241,0.6666799118443064,0.4525990001091773,0.5665713901647087,1.5219255901860242,0.4354849506508297,not flagged by heuristic,
1,6,FC3,11.98935,70.64561583408768,4990.8030365775,-543.0,425.0,968.0,6.0,37.0,74.99999999999999,355.0,0.0272013600680034,80,0.5,0.8314545367154849,1.1942521802939279,0.7145028726899109,0.4721428251372572,1.9024069877325327,1.169903909558918,not flagged by heuristic,
1,6,FC1,11.51045,70.1707067856488,4923.9280907975,-536.0,388.99999999999994,925.0,7.0,39.0,78.0,357.0,0.02830141507075354,80,0.5,0.8207013999178835,1.0639340065425296,0.6517747129494657,-0.10791836003137308,1.9715854236500792,0.986178987534175,not flagged by heuristic,
1,6,FCz,11.232,70.48905642722137,4968.707075999999,-536.0,367.0,903.0,8.0,40.99999999999999,81.0,344.0,0.028701435071753587,80,0.5,0.7850299405224122,0.9881622473421183,0.6938237900001585,-0.40469385011764897,1.521925590186026,0.37670695911139374,not flagged by heuristic,
1,6,FC2,9.66255,67.05883966709757,4496.887977497499,-560.0,357.0,917.0,7.0,37.99999999999999,75.0,363.0,0.029101455072753638,80,0.5,0.8081501083086603,0.561083822213423,0.24074506770436066,-0.21583672006274615,2.179120731402719,0.7717313230416409,not flagged by heuristic,
1,6,FC4,9.3385,60.27605841252395,3633.2032177499996,-535.0,330.99999999999994,866.0,6.0,33.0,67.0,332.0,0.030851542577128858,80,0.5,0.8055503057438702,0.47290339998719494,-0.6551557103920049,-0.9038162652627494,1.1068549746807463,0.7273118636330773,not flagged by heuristic,
1,6,FC6,9.0366,57.82252208646731,3343.4440604399997,-549.0,334.0,883.0,5.0,29.0,59.0,324.0,0.03470173508675434,80,0.5,0.7827928114741342,0.3907504314017969,-0.9792300128206217,-0.6744897501960817,0.8301412310105597,0.33848403237936836,not flagged by heuristic,
1,6,C5,6.70825,64.6473984931915,4179.2861319375,-531.0,357.0,888.0,2.0,35.99999999999999,71.0,337.0,0.029151457572878643,80,0.5,0.7990747004264142,-0.24283971237366453,-0.07776911445053314,-0.6070407751764736,1.2798010644746127,0.6166715821593021,not flagged by heuristic,
1,6,C3,10.27845,65.02631863789846,4228.4221155975,-523.0,359.99999999999994,883.0,6.0,36.99999999999999,72.99999999999999,313.99999999999994,0.029801490074503726,80,0.5,0.836209506847442,0.7286824090029119,-0.0277196082468001,-0.6744897501960817,0.4842490514228245,1.2511459260204474,not flagged by heuristic,
1,6,C1,7.993,66.17756078158216,4379.469551,-536.0,345.0,881.0,5.0,37.99999999999999,75.99999999999999,335.0,0.02830141507075354,80,0.5,0.8522458588308537,0.10676620478463396,0.12434172081465039,-0.7014693402039249,1.2106226285570663,1.525138303609362,not flagged by heuristic,
1,6,Cz,8.0542,64.86065881842397,4206.905062359999,-531.0,278.0,809.0,7.0,41.0,82.0,338.0,0.0272013600680034,80,0.5,0.7827869955624125,0.1234199367403356,-0.049600715066575284,-1.6727345804862828,1.3143902824333862,0.3383846634279938,not flagged by heuristic,
1,6,C2,5.48405,57.91761343147264,3354.4499455975,-533.0,262.0,795.0,5.0,36.0,72.0,333.0,0.0288014400720036,80,0.5,0.7492145081810345,-0.5759687754483396,-0.9666699129466858,-1.8615917105411857,1.1414441926395196,-0.2352249485780781,not flagged by heuristic,
1,6,C4,1.75405,50.91877510896643,2592.7216585974993,-542.0,222.0,764.0,2.0,31.0,62.0,325.0,0.03135156757837892,80,0.5,0.7653705642175174,-1.590975641375915,-1.891108496997431,-2.279775355662756,0.864730448969333,0.0408126571364053,not flagged by heuristic,
1,6,C6,4.4656,50.22819344392151,2522.87141664,-545.0,301.0,846.0,2.0,26.0,52.0,320.0,0.03605180259012951,80,0.5,0.8035369920783163,-0.8531091890150792,-1.9823236826022508,-1.1736121653411822,0.6917843591754663,0.6929129804813489,not flagged by heuristic,
1,6,CP5,4.31015,56.65375589471098,3209.6480569774994,-543.0,269.0,812.0,2.0,33.0,67.0,321.0,0.03000150007500375,80,0.5,0.8033837709787659,-0.8954102124221681,-1.1336059983208413,-1.6322651954745178,0.7263735771342398,0.6902950899906668,not flagged by heuristic,
1,6,CP3,4.70545,58.18039609952393,3384.9584902974993,-539.0,262.0,801.0,4.0,35.0,71.0,307.0,0.031451572578628934,80,0.5,0.8043793964576319,-0.787841254218101,-0.9319603759674938,-1.7806529405176557,0.24212452571141324,0.7073060531090107,not flagged by heuristic,
1,6,CP1,3.9008,59.52124292519436,3542.7783593599997,-542.0,262.0,804.0,3.0,37.0,74.0,312.0,0.029701485074253714,80,0.5,0.7924161186025755,-1.0068024538611637,-0.7548551931022549,-1.7401835555058909,0.41507061550527985,0.5029050180946653,not flagged by heuristic,
1,6,CPz,1.70375,56.46265479002471,3188.0313859375,-551.0,222.0,773.0,3.0,36.0,72.0,310.0,0.030601530076503826,80,0.5,0.6943092214403466,-1.6046632674767614,-1.1588475064806487,-2.1583672006274615,0.34589217958773316,-1.1733204750322004,not flagged by heuristic,
1,6,CP2,0.43395,52.86863377653616,2795.0924373975,-548.0,215.0,763.0,2.0,33.0,67.0,304.0,0.030401520076003802,80,0.5,0.6690955486080403,-1.9502009935772535,-1.6335622439355704,-2.2932651506666777,0.1383568718350933,-1.6041138483766333,not flagged by heuristic,
1,6,CP4,-0.69305,50.449490896316284,2545.1511316974997,-552.0,198.0,750.0,1.0,31.0,63.0,300.0,0.030601530076503826,80,0.5,0.6615925308114118,-2.256880011781108,-1.953093702694299,-2.468632485717659,0.0,-1.732308196275502,not flagged by heuristic,
1,6,CP6,0.6114,45.54536299163725,2074.3800900399997,-527.9999999999999,166.0,693.9999999999999,2.0,27.0,55.0,280.9999999999999,0.03480174008700435,80,0.5,0.6000017035321151,-1.9019133344998143,-2.6008533518387322,-3.2240610059372723,-0.657195141216697,-2.7846308954391845,not flagged by heuristic,
1,6,Fp1,-0.70215,106.45450453305158,11332.5615353775,-554.9999999999999,580.0,1135.0,-5.0,53.0,107.0,300.9999999999999,0.02665133256662833,80,0.5,0.5732668485117123,-2.2593563019902074,5.444304711210885,2.72493859079217,0.03458921795876939,-3.241414738741725,statistically unusual,high standard deviation (rz=5.44)
1,6,Fpz,-0.5694,92.718592437763,8596.73738364,-551.0,516.0,1067.0,-4.0,44.0,89.0,301.0,0.030301515075753786,80,0.5,0.602873183174521,-2.2232323981157074,3.630002602362189,1.8076325305254988,0.03458921795877332,-2.7355696416556063,statistically unusual,high standard deviation (rz=3.63)
1,6,Fp2,-0.4686,97.80401686045415,9565.62571404,-552.0,539.0,1091.0,-5.0,49.0,98.0,291.0,0.028901445072253614,80,0.5,0.5871571664545654,-2.195802721953375,4.301708725004304,2.131387610619618,-0.3113029616289599,-3.0040888654654885,statistically unusual,high standard deviation (rz=4.30)
1,6,AF7,-2.5588,92.98650516370641,8646.49014256,-563.9999999999999,544.0,1108.0,-6.0,43.99999999999999,87.0,291.9999999999999,0.028351417570878543,80,0.5,0.5866894800015973,-2.764587534597294,3.665389740856856,2.360714125686286,-0.27671374367019047,-3.0120796181845244,statistically unusual,high standard deviation (rz=3.67)
1,6,AF3,-0.6463,91.73707645390712,8415.69119631,-551.0,536.9999999999999,1088.0,-4.0,44.0,87.0,288.0,0.029701485074253714,80,0.5,0.6058695617580646,-2.2441584109816137,3.5003594809571523,2.090918225607853,-0.41507061550527985,-2.684374401421988,statistically unusual,high standard deviation (rz=3.50)
1,6,AFz,3.36945,72.30225761826182,5227.616456697499,-549.9999999999999,423.0,972.9999999999999,0.0,40.0,80.0,281.9999999999999,0.030401520076003802,80,0.5,0.724982938532897,-1.1513933112902834,0.9333196983788979,0.5395918001568638,-0.6226059232579236,-0.6492383967408752,not flagged by heuristic,
1,6,AF4,0.50375,70.80622490951978,5013.5214859375,-551.0,412.0,963.0,-1.0,39.0,79.0,275.0,0.031001550077503874,80,0.5,0.6997320506512832,-1.9312070313140512,0.735716854130332,0.40469385011764897,-0.864730448969333,-1.0806676154354482,not flagged by heuristic,
1,6,AF8,1.65385,84.18101644775679,7086.443530177499,-554.0,488.0,1042.0,-1.0,41.99999999999999,84.0,287.0,0.027101355067753387,80,0.5,0.5906605694330755,-1.6182420456563287,2.502320507742697,1.470387655427458,-0.44965983346405314,-2.9442307560446537,not flagged by heuristic,
1,6,F7,6.3969,72.62864221772288,5274.91967039,-545.0,475.99999999999994,1021.0,1.0,35.0,70.0,261.00000000000006,0.02985149257462873,80,0.5,0.7313394741375725,-0.32756421309928135,0.9764300694259765,1.1871019603451038,-1.3489795003921574,-0.5406325052416598,not flagged by heuristic,
1,6,F5,2.5271,82.20431111316486,6757.548765590001,-552.0,459.99999999999994,1012.0,-3.0,44.0,87.99999999999999,230.00000000000006,0.02905145257262863,80,0.5,0.7317157489453289,-1.380613427513901,2.241228224081919,1.065693805309809,-2.4212452571141303,-0.5342035849167242,not flagged by heuristic,
1,6,F3,2.6739,73.74706949289579,5438.63025879,-563.9999999999999,428.0,991.9999999999999,-3.0,38.0,77.0,274.0,0.02985149257462873,80,0.5,0.770966390199997,-1.3406662404044727,1.1241570605324576,0.7958979052313749,-0.8993196669281063,0.1364212885196157,not flagged by heuristic,
1,6,F1,7.17455,70.49340594904959,4969.320282297499,-570.0,407.0,977.0,3.0,39.0,78.0,286.0,0.028101405070253514,80,0.5,0.8020917317144501,-0.11595024814255761,0.6943982947415018,0.5935509801725519,-0.4842490514228265,0.6682196884071707,not flagged by heuristic,
1,6,Fz,5.0109,68.04981396881259,4630.77718119,-567.0,383.0,950.0,2.0,38.0,77.0,294.99999999999994,0.028351417570878543,80,0.5,0.7869990786787697,-0.7047222603313508,0.3716374870023191,0.2293265150666678,-0.17294608979386858,0.4103510725493853,not flagged by heuristic,
1,6,F2,5.0933,64.55790342870499,4167.72289511,-567.0,363.0,930.0,3.0,37.0,74.0,281.0,0.029551477573878694,80,0.5,0.7798804061841315,-0.6822995885478569,-0.08959003199157685,-0.040469385011764905,-0.6571951412166931,0.2887235350582935,not flagged by heuristic,
1,6,F4,4.5645,63.16808798554853,3990.2073397500003,-553.0,361.99999999999994,915.0,3.0,35.99999999999999,72.0,278.0,0.029001450072503626,80,0.5,0.7879344172121803,-0.8261965404788227,-0.2731632138769018,-0.2428163100705894,-0.760962795093013,0.42633199070862626,not flagged by heuristic,
1,6,F6,7.99395,65.95744926388149,4350.3851133974995,-543.0,401.0,944.0,3.0,34.0,68.0,256.0,0.032351617580879045,80,0.5,0.7537646619906158,0.10702471859767171,0.09526838458653096,0.14838774504313798,-1.521925590186026,-0.15748236335844473,not flagged by heuristic,
1,6,F8,9.65675,65.59969763221093,4303.3203294375,-532.0,370.0,902.0,2.0,31.0,62.0,232.99999999999994,0.035551777588879445,80,0.5,0.6591726826149042,0.5595055273548764,0.04801491242674798,-0.4181836451215707,-2.3174776032378146,-1.773653008452934,not flagged by heuristic,
