subject,run,run_trial_index,task_annotation_index,rest_annotation_index,semantic_condition,channel,peak_frequency_hz,band_low_hz,band_high_hz,frequency_center_count,frequency_centers_hz,task_interval_start_seconds,task_interval_stop_seconds,rest_interval_start_seconds,rest_interval_stop_seconds,reference_mean_wavelet_power_v2,task_mean_wavelet_power_v2,individualized_change_percent,individualized_change_db,source_file,source_sha256,primary_retained,quality_status,quality_evidence,confirmed_exclusion,fixed_narrow_change_percent,fixed_narrow_change_db,fixed_broad_change_percent,fixed_broad_change_db,matched_trial_identity,individualized_reference_log_power_robust_z,individualized_task_log_power_robust_z,individualized_low_reference_power_candidate
7,6,0,1,0,both_fists_imagery,C4,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,9.956040024326015e-10,4.3922475600596014e-10,-55.883588762923445,-3.5539982359644675,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,not flagged,,False,-56.02051066499307,-3.567498177282109,-55.689868740625016,-3.534969634611026,True,-0.6690571791766394,-1.0507490368023111,False
7,6,0,1,0,both_fists_imagery,C3,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,2.5229016974370174e-09,4.18268836782766e-10,-83.42112032317074,-7.804448203846611,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,not flagged,,False,-84.85868706965057,-8.19836464751157,-72.49564816552137,-5.60598585145268,True,1.0420568149603617,-1.811165907106903,False
7,6,2,5,4,both_fists_imagery,C4,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,1.6565617775523903e-09,6.228868078553445e-10,-62.398818064263516,-4.24798503473916,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,statistical candidate,high frontal_max_task_p2p_uV (robust_z=7.22); channel-specific high task p2p: Fp1/Fpz/Fp2/AF7/AF3/AF4/AF8/F5,False,-64.35343644680158,-4.479823312207708,-53.10367033416788,-3.2886114594699647,True,0.18469183491255856,-0.6107140318408952,False
7,6,2,5,4,both_fists_imagery,C3,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,1.730910229646177e-09,9.351321334476553e-10,-45.97454463950971,-2.6740156392246686,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,statistical candidate,high frontal_max_task_p2p_uV (robust_z=7.22); channel-specific high task p2p: Fp1/Fpz/Fp2/AF7/AF3/AF4/AF8/F5,False,-47.22102390429989,-2.7753903928271284,-42.33049333279632,-2.390537637378384,True,0.18992547005501875,-0.34477342947417583,False
7,6,4,9,8,both_fists_imagery,C4,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,1.8895549396286625e-09,8.305055812953998e-10,-56.047555756245345,-3.5701696832494574,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,statistical candidate,high frontal_max_task_p2p_uV (robust_z=6.22); channel-specific high task p2p: Fp1/Fpz/Fp2/AF7/AF4/AF8,False,-56.598731020893695,-3.624975722716674,-35.722316207979546,-1.9193978116924124,True,0.40535548418745754,-0.2483739481247297,False
7,6,4,9,8,both_fists_imagery,C3,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,2.0328635150644324e-09,1.830804918461179e-09,-9.93960465648128,-0.45466150920367976,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,statistical candidate,high frontal_max_task_p2p_uV (robust_z=6.22); channel-specific high task p2p: Fp1/Fpz/Fp2/AF7/AF4/AF8,False,-15.932273398053969,-0.7537069681478339,1.5897548213215844,0.06849912190837446,True,0.5536057125696409,0.8796873735776528,False
7,6,7,15,14,both_fists_imagery,C4,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,1.923033190831947e-09,2.1638631749637323e-10,-88.7476556032421,-9.487569839968291,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,not flagged,,False,-88.36179230607624,-9.341138967112489,-87.38350404736052,-8.990612472900372,True,0.4348043492456508,-1.9424559806828634,False
7,6,7,15,14,both_fists_imagery,C3,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,1.6501448635884284e-09,4.773061121308969e-10,-71.07489635225478,-5.3872507615968175,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,not flagged,,False,-69.10752731248131,-5.101473286177369,-68.39895484013415,-5.002985534684253,True,0.08185061779656307,-1.5705221724333063,False
7,6,8,17,16,both_fists_imagery,C4,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,1.67054846960283e-09,1.0006425856843404e-09,-40.10095463304687,-2.2258009906591787,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,statistical candidate,high frontal_max_task_p2p_uV (robust_z=5.43); channel-specific high task p2p: Fp1/Fpz/Fp2/AF7/AF4/AF8,False,-45.12045381611369,-2.605894886032156,-36.85115815493459,-1.9963461003200127,True,0.19879007514451502,-0.013636830135909475,False
7,6,8,17,16,both_fists_imagery,C3,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,3.6958289367513353e-09,8.255110945015792e-10,-77.6637093158535,-6.509889471183881,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,statistical candidate,high frontal_max_task_p2p_uV (robust_z=5.43); channel-specific high task p2p: Fp1/Fpz/Fp2/AF7/AF4/AF8,False,-77.69786886484668,-6.516536348883987,-77.92747865215541,-6.56148054472598,True,1.9055711123370926,-0.5720237997445723,False
7,6,11,23,22,both_fists_imagery,C4,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,7.318439115167417e-10,1.0225459467763856e-09,39.72186291160992,1.4526436745257518,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,not flagged,,False,38.351651928079505,1.4098434901341004,30.72197832601525,1.1634861178297364,True,-1.1851504798897787,0.013636830135909475,False
7,6,11,23,22,both_fists_imagery,C3,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,1.2707555877924695e-09,9.951426130292239e-10,-21.688905200254503,-1.0617670449423142,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,not flagged,,False,-20.9504764555984,-1.0210074334924015,2.065901774220227,0.08880677006915588,True,-0.5090272816305458,-0.23141133519040144,False
7,6,13,27,26,both_fists_imagery,C4,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,4.730621289819196e-10,3.6393198274155023e-10,-23.068882405621682,-1.138979584299766,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,statistical candidate,high frontal_max_task_p2p_uV (robust_z=4.46); channel-specific high task p2p: AF7/AF4,False,-27.779988955794668,-1.4134244949494312,-5.760525159191128,-0.25767142701013374,True,-1.916811774463451,-1.2876038135554326,False
7,6,13,27,26,both_fists_imagery,C3,12.25,11.25,13.25,5,11.25/11.75/12.25/12.75/13.25,1.0,3.0,1.1,3.1,1.42883920497265e-09,8.08003713130894e-10,-43.450339945959115,-2.4757000147412174,physionet/eegmmidb/1.0.0/S007/S007R06.edf,9f6e8d2367dd2965fe71380ad6d42c94e13848d589516fda86fa0eb93481998e,True,statistical candidate,high frontal_max_task_p2p_uV (robust_z=4.46); channel-specific high task p2p: AF7/AF4,False,-43.2473165580026,-2.4601359886612437,-31.862445695542387,-1.6661345883888434,True,-0.24383887288520698,-0.611093012455413,False
7,10,1,3,2,both_fists_imagery,C4,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,2.695436590876909e-09,6.565521433173149e-10,-75.64208538462712,-6.133598962445923,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,statistical candidate,high max_task_abs_step_uV (robust_z=4.08),False,-80.6520396938713,-7.133648122721576,-72.8125407295366,-5.656313763174251,True,1.0009909681606264,-0.5444137023532692,False
7,10,1,3,2,both_fists_imagery,C3,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,9.489136463546058e-10,7.836497687196301e-10,-17.4161134967193,-0.8310468252681648,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,statistical candidate,high max_task_abs_step_uV (robust_z=4.08),False,-56.68589943016189,-3.633706994252388,-6.8411032599616535,-0.30775663359239835,True,-1.1695611069786105,-0.6668725098109783,False
7,10,3,7,6,both_fists_imagery,C4,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,7.81649547297784e-10,2.3817089630875037e-09,204.70291594503374,4.838766103525659,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,170.80676135258392,4.3265950337152494,131.9567933522402,3.654070962865006,True,-1.074750419907955,1.0786312833921212,False
7,10,3,7,6,both_fists_imagery,C3,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,1.0035947915181993e-09,1.3227009915162455e-09,31.79631886244793,1.1990328036381808,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,23.69077429598699,0.9233730818398462,65.5763387524356,2.189982751816764,True,-1.0428462996121761,0.28719878771954566,False
7,10,5,11,10,both_fists_imagery,C4,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,1.1614219296015335e-09,1.5686300590762726e-09,35.06117106075706,1.3053051099218884,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,-27.4881766664114,-1.3959117425814744,46.470795799811505,1.6575104115884045,True,-0.4107429486215507,0.5526154877284056,False
7,10,5,11,10,both_fists_imagery,C3,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,1.3540009973350418e-09,1.7006686217568197e-09,25.603203033387164,0.9900071457624416,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,-17.33601829480417,-0.8268367973483121,17.847834089396706,0.7132160508972536,True,-0.3655159993440194,0.7452998037470403,False
7,10,7,15,14,both_fists_imagery,C4,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,1.2613691339569374e-09,1.4610408412602748e-09,15.829760054216939,0.6382015668699508,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,18.00856732924602,0.719135378887643,-7.582981811800337,-0.3424804799327042,True,-0.2723175578871364,0.46311858486249696,False
7,10,7,15,14,both_fists_imagery,C3,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,2.592734542181818e-09,7.55807517604192e-10,-70.84902039496221,-5.353468463967689,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,-75.4357160931893,-6.096958918122304,-67.64008469591164,-4.8999262374132275,True,1.1038095452019978,-0.73280568255667,False
7,10,9,19,18,both_fists_imagery,C4,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,2.2257564803017683e-09,1.0874293858969625e-09,-51.14337999143875,-3.110765816197655,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,-70.21583442274658,-5.260145624367363,-41.76213200862238,-2.3479453233046197,True,0.6799428208233605,0.09112679805253929,False
7,10,9,19,18,both_fists_imagery,C3,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,1.17188926838801e-09,1.0451025777081133e-09,-10.81899920922546,-0.4972765829867709,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,-30.961288664947396,-1.6090732368477765,-7.370460703168864,-0.33250495954468945,True,-0.6922142063831387,-0.1421329141966845,False
7,10,10,21,20,both_fists_imagery,C4,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,9.262888689222627e-10,3.914509334577273e-10,-57.739864248484324,-3.7406911220468335,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,-55.81697027544463,-3.547445069448532,-52.736149812292844,-3.2547090294979686,True,-0.7900617640613478,-1.1957897938725788,False
7,10,10,21,20,both_fists_imagery,C3,11.25,10.25,12.25,5,10.25/10.75/11.25/11.75/12.25,1.0,3.0,1.1,3.1,1.5349288611991688e-09,1.2215038534618606e-09,-20.41951361136331,-0.9919341081346258,physionet/eegmmidb/1.0.0/S007/S007R10.edf,acd9571b0a6b1f864807e556d09d913592d1eff978e7469bb68a9fefed62e172,True,not flagged,,False,-53.75888160347145,-3.3497167053114536,-11.302568439510438,-0.5208895598852932,True,-0.08185061779657232,0.14213291419667703,False
