subject,subject_role,semantic_condition,channel,frequency_band,trial_count,mean_change_percent,standard_deviation_change_percent,median_change_percent,q25_change_percent,q75_change_percent,iqr_change_percentage_points,minimum_change_percent,maximum_change_percent,trimmed_mean_change_percent,median_change_db,iqr_change_db,negative_trial_count,negative_trial_fraction,positive_trial_count,zero_trial_count,qc_candidate_trial_count,exclude_qc_candidates_median_change_percent,qc_sensitivity_preserves_primary_direction,subject_is_group_observational_unit
1,development,both_fists_imagery,C4,central_12_13,21,-33.26977095701296,50.714465440089235,-52.28373306890746,-65.15741030227593,0.12018262211479869,65.27759292439073,-89.10892100292504,84.35583691330302,-47.347725768707086,-3.2133354058100188,4.584112063527213,15,0.7142857142857143,6,0,4,-52.28373306890746,True,True
1,development,both_fists_imagery,C3,central_12_13,21,-43.924219332836785,36.94310658263827,-55.57490648782269,-69.55254471964943,-30.860907402334377,38.691637317315056,-83.40008605444633,62.43771657686413,-51.08139421104051,-3.523716493576669,3.561726741569811,19,0.9047619047619048,2,0,4,-50.43414675216825,True,True
1,development,both_fists_imagery,C3,mu,21,-32.28302882060279,34.64110353891671,-47.3283116991264,-54.47644452298941,-14.674078241709955,39.802366281279454,-73.75546936930505,58.02020698644673,-39.31821858906916,-2.7842276085265736,2.7284481462570143,18,0.8571428571428571,3,0,4,-37.68540562157281,True,True
1,development,both_fists_imagery,C4,mu,21,-27.10170585066818,49.146843134268074,-47.19283683168655,-53.27556291065785,-30.439433252231957,22.83612965842589,-84.57818167075621,97.5375997726105,-42.3705132135561,-2.773071624384014,1.728190338402396,17,0.8095238095238095,4,0,4,-47.19283683168655,True,True
1,development,both_fists_imagery,Cz,mu,21,9.52897289410666,50.92339333543084,-4.800793756949533,-24.778693152797484,32.43039194932485,57.20908510212233,-45.21246994863995,183.91894120350142,-0.20135447993730848,-0.21366672683805893,2.456467901096529,12,0.5714285714285714,9,0,4,-2.229223537253242,True,True
1,development,both_fists_imagery,Cz,beta,21,-7.884803154155234,45.3645870279278,-24.805140440841587,-33.80762222425217,8.185504625476815,41.99312684972899,-64.01690955166016,141.18676080764604,-17.383312212442217,-1.2381184745885983,2.133610929804969,14,0.6666666666666666,7,0,4,-24.867880053744948,True,True
1,development,both_feet_imagery,C3,central_12_13,24,74.01288862606786,138.1744622398498,30.292460642118655,-16.307597055519807,98.54416923683317,114.85176629235298,-54.42083551182318,500.99961593156905,39.47560940840769,1.1461196766649846,3.7521604838926557,8,0.3333333333333333,16,0,2,37.05653077198803,True,True
1,development,both_feet_imagery,C4,central_12_13,24,48.32727011090253,92.77422743633281,22.313400255138223,-25.842586937236074,94.97330707471492,120.815894011951,-52.62493656505364,289.0238457941884,33.51770887472111,0.8724949772042343,4.163741848467663,8,0.3333333333333333,16,0,2,34.74168573865482,True,True
1,development,both_feet_imagery,C3,mu,24,45.836487099236116,97.74526408851419,22.397374610925645,-21.19410335516435,87.73201509190424,108.9261184470686,-57.31684615354879,305.3016753410939,23.919792932945338,0.874412452698268,3.769863120869445,9,0.375,15,0,2,29.373415712323506,True,True
1,development,both_feet_imagery,Cz,mu,24,14.342579718285668,50.61291183126432,2.245470772282591,-16.06448428615898,37.21122034717933,53.27570463333831,-70.92715203937553,166.0407362795964,9.538809888022971,0.0886780135017104,2.135068407648774,12,0.5,12,0,2,2.2454707722825904,True,True
1,development,both_feet_imagery,C4,mu,24,16.386351263399586,52.87341457024956,3.792494111579183,-25.73794717523262,34.89423816498639,60.63218534021901,-41.56949035959617,139.7532685952033,7.449154069792462,0.16035021932537402,2.6011780421714006,10,0.4166666666666667,14,0,2,15.617446682818416,True,True
1,development,both_feet_imagery,Cz,beta,24,21.34658190568122,50.56455137167006,15.178388352704314,-18.477054925305904,52.512711951207535,70.98976687651344,-44.55337107316173,125.6893395554582,16.196761758508366,0.6131572129112802,2.727382931739471,9,0.375,15,0,2,15.178388352704314,True,True
2,replication,both_fists_imagery,C4,central_12_13,24,36.962285330092364,170.79818667354007,-8.403438759166253,-33.29464338380603,52.86253639790917,86.1571797817152,-83.69015187465075,784.6710920752064,3.504868493126108,-0.3941855831335254,3.596352145263478,13,0.5416666666666666,11,0,8,-26.676630656839407,True,True
2,replication,both_fists_imagery,C3,central_12_13,24,1.6103280315184232,117.62623621205586,-38.81028760493102,-52.663921481595615,-7.911253415710114,44.7526680658855,-77.21274604941358,431.8468118205749,-32.6265906262323,-2.1332881549106686,2.899952818089367,19,0.7916666666666666,5,0,8,-40.415909747608346,True,True
2,replication,both_fists_imagery,C3,mu,24,5.666287319920232,110.59149391385147,-27.615074116812828,-51.61687791907262,3.332426790002401,54.94930470907502,-68.3138194544931,454.0447514412613,-25.654827843256616,-1.4037769928242883,3.2447484849173565,18,0.75,6,0,8,-26.029297264512053,True,True
2,replication,both_fists_imagery,C4,mu,24,11.201802588276239,107.04179078079508,-5.0171628162263335,-47.46339321973791,30.98820447319484,78.45159769293275,-87.2311862662508,451.89727743520484,-7.477175247339213,-0.22366882778570077,3.9677793820212948,14,0.5833333333333334,10,0,8,-9.533844791745118,True,True
2,replication,both_fists_imagery,Cz,mu,24,-23.323743582701425,36.631428880778245,-34.704561276773504,-47.26611261394562,9.02897882045293,56.29509143439856,-86.2016666011019,53.17709264052259,-26.580217954461084,-1.852640366611013,3.1529600112169285,17,0.7083333333333334,7,0,8,-30.51080143087033,True,True
2,replication,both_fists_imagery,Cz,beta,24,-8.501375361660003,44.38164444001189,-23.29927699160435,-45.87088401863886,26.676284817193,72.54716883583185,-65.10309715098897,91.2857072675518,-12.876708436079937,-1.1578925585800783,3.6923001718733173,14,0.5833333333333334,10,0,8,-32.28856799285741,True,True
2,replication,both_feet_imagery,C3,central_12_13,21,33.34140996694563,94.73650461932387,8.975040238312973,-15.453467255681053,45.848620701370024,61.30208795705108,-74.42791929879971,329.20781732169195,12.610948082114401,0.3732703805011669,2.3680652445970787,8,0.38095238095238093,13,0,5,21.00700602311486,True,True
2,replication,both_feet_imagery,C4,central_12_13,21,10.2645474018838,67.98827805543351,-8.492299214315292,-27.349791718353863,40.77815756267569,68.12794928102954,-85.72202145530767,240.8357748151691,-0.3985936418940072,-0.38542356556483937,2.8729841334631594,12,0.5714285714285714,9,0,5,6.132743502187813,False,True
