subject,run,channel,reference_state,line_frequency_hz,line_bin_psd_uV2_per_hz,neighbor_definition_hz,neighbor_median_psd_uV2_per_hz,line_to_neighbor_ratio,line_excess_db,local_peak_frequency_hz,local_peak_psd_uV2_per_hz
1,6,FC5,stored,50.0,1.4131835749270816,47-49 and 51-53,1.3007112256849203,1.086469884338037,0.3601769269328897,49.666666666666664,1.4496275671645822
1,6,FC3,stored,50.0,1.2972489604791742,47-49 and 51-53,1.2793092859413524,1.014022937795391,0.060477791051022974,51.33333333333333,1.3638303316951612
1,6,FC1,stored,50.0,1.4263224378075516,47-49 and 51-53,1.314083500836394,1.0854123325494303,0.3559475176320845,49.666666666666664,1.457155063347195
1,6,FCz,stored,50.0,1.530838613087551,47-49 and 51-53,1.3675752727442307,1.1193816118184923,0.4897816843514457,49.666666666666664,1.599700950509602
1,6,FC2,stored,50.0,1.4908032632104935,47-49 and 51-53,1.196892624834739,1.2455614081641921,0.9536514381104313,50.0,1.4908032632104935
1,6,FC4,stored,50.0,1.3096445323126518,47-49 and 51-53,0.9980068256735726,1.312260095444487,1.1801992255579494,50.0,1.3096445323126518
1,6,FC6,stored,50.0,1.2071679004610387,47-49 and 51-53,0.9026799259437255,1.3373155486968207,1.2623389408969155,50.0,1.2071679004610387
1,6,C5,stored,50.0,1.2791897869475979,47-49 and 51-53,1.2609048211703877,1.0145014639251184,0.06252678056542849,49.666666666666664,1.3950129506645397
1,6,C3,stored,50.0,1.2177146094550715,47-49 and 51-53,1.2642601276466774,0.963183590802435,-0.1629092484524046,48.666666666666664,1.3906686662318246
1,6,C1,stored,50.0,1.3575348981316124,47-49 and 51-53,1.3521521507514305,1.0039808740289993,0.017254395193747746,50.666666666666664,1.5025358805819482
1,6,Cz,stored,50.0,1.6250486604445202,47-49 and 51-53,1.4607634536738936,1.1124653046031794,0.4628647515467371,49.666666666666664,1.6504470898993517
